otu sim del ins mis len score hit clade
denovo444 denovo444 100.00  0  0   0 283 1415.0 C1c/C45_multiple C
denovo441 denovo441  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo942 denovo942  99.29  0  0   2 283 1397.0 C3k_AY589737 C
denovo967 denovo967  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo836 denovo836 100.00  0  0   0 271 1355.0 D1a_multiple D
denovo118 denovo118  99.65  0  0   1 283 1406.0 C15_AY239369 C
denovo1012 denovo1012 100.00  0  0   0 280 1400.0 C31_AY258496 C
denovo387 denovo387  98.41  0  0   4 252 1224.0 A121_DQ174722 A
denovo386 denovo386 100.00  0  0   0 271 1355.0 D1_multiple D
denovo388 denovo388  99.65  0  0   1 283 1406.0 C1232_EU118163 C
denovo475 denovo475  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo279 denovo279 100.00  0  0   0 287 1435.0 G100_AB253788 G
denovo492 denovo492  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo151 denovo151  98.81  0  0   3 252 1233.0 A121_DQ174722 A
denovo727 denovo727  98.23  0  0   5 282 1365.0 C3b_AF499791 C
denovo726 denovo726  98.23  0  0   5 283 1370.0 C3_multiple;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo724 denovo724 100.00  0  0   0 276 1380.0 C32.1_JF683335 C
denovo976 denovo976 100.00  0  0   0 283 1415.0 C3_multiple C
denovo974 denovo974  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo975 denovo975  99.62  0  0   1 261 1296.0 D2_AY686649 D
denovo334 denovo334  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo236 denovo236  99.26  0  0   2 271 1337.0 D1_multiple D
denovo427 denovo427 100.00  0  0   0 283 1415.0 C1_multiple C
denovo343 denovo343  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo512 denovo512  99.65  0  0   1 283 1406.0 C42_AY258487 C
denovo763 denovo763  99.29  0  0   2 283 1397.0 C3_multiple;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo786 denovo786 100.00  0  0   0 280 1400.0 C31.1_HQ630876 C
denovo488 denovo488  98.94  0  0   3 283 1388.0 C3_multiple;C1.v1a_FJ919243 C
denovo485 denovo485  98.94  0  0   3 283 1388.0 C3_multiple;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo992 denovo992  98.26  0  0   5 287 1390.0 G3.3_LK392377;G3.1_KC597688 G
denovo633 denovo633  99.65  0  0   1 287 1426.0 G100_AB253788 G
denovo131 denovo131 100.00  0  0   0 283 1415.0 C15_AY239369 C
denovo0 denovo0  99.65  0  0   1 283 1406.0 C15_AY239369 C
denovo594 denovo594  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo596 denovo596  99.29  0  0   2 283 1397.0 C3_multiple;C1.v1a_FJ919243 C
denovo578 denovo578  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo579 denovo579  99.65  0  0   1 283 1406.0 C3_multiple;C1.v1a_FJ919243 C
denovo821 denovo821  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo404 denovo404  98.23  0  1   4 283 1325.0 C3k_AY589737 C
denovo629 denovo629  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo741 denovo741  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo743 denovo743  99.29  0  0   2 283 1397.0 C15_AY239369 C
denovo646 denovo646  98.94  0  0   3 283 1388.0 C3_multiple;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo106 denovo106  98.94  0  1   2 283 1321.0 C3_multiple;C131_JF320826;C3.16_EU786015 C
denovo40 denovo40  99.29  0  0   2 283 1397.0 C1_multiple;C1m_AY765398;C1003_DQ480639 C
denovo957 denovo957  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo952 denovo952  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo551 denovo551 100.00  0  0   0 283 1415.0 C42_AY258487 C
