	sequences per sample	iteration	KI14FSYM099	KI15aFSYM103	KI15cFSYM018	KI15bFSYM023	KI16aFSYM049
alpha_rarefaction_10_0.txt	10	0	2.0	2.0	2.0	1.0	1.0
alpha_rarefaction_10_1.txt	10	1	1.0	2.0	1.0	2.0	1.0
alpha_rarefaction_10_2.txt	10	2	1.0	1.0	2.0	2.0	1.0
alpha_rarefaction_10_3.txt	10	3	2.0	2.0	1.0	2.0	1.0
alpha_rarefaction_10_4.txt	10	4	2.0	1.0	1.0	1.0	4.0
alpha_rarefaction_10_5.txt	10	5	2.0	2.0	2.0	2.0	1.0
alpha_rarefaction_10_6.txt	10	6	2.0	2.0	2.0	2.0	2.0
alpha_rarefaction_10_7.txt	10	7	4.0	2.0	1.0	2.0	2.0
alpha_rarefaction_10_8.txt	10	8	2.0	2.0	1.0	1.0	2.0
alpha_rarefaction_10_9.txt	10	9	1.0	2.0	2.0	1.0	1.0
alpha_rarefaction_59_0.txt	59	0	3.0	4.5	2.0	3.0	2.0
alpha_rarefaction_59_1.txt	59	1	3.0	4.0	6.33333333333	2.0	4.0
alpha_rarefaction_59_2.txt	59	2	6.5	3.0	3.0	5.0	3.0
alpha_rarefaction_59_3.txt	59	3	7.0	3.0	3.0	3.0	2.0
alpha_rarefaction_59_4.txt	59	4	3.0	2.0	4.0	4.5	2.0
alpha_rarefaction_59_5.txt	59	5	2.0	2.0	7.0	4.0	1.0
alpha_rarefaction_59_6.txt	59	6	4.0	2.0	4.5	2.0	2.0
alpha_rarefaction_59_7.txt	59	7	5.0	2.0	2.0	3.0	1.0
alpha_rarefaction_59_8.txt	59	8	3.0	2.0	4.0	3.0	2.0
alpha_rarefaction_59_9.txt	59	9	3.0	2.0	2.0	2.0	2.0
alpha_rarefaction_108_0.txt	108	0	12.0	3.0	3.0	3.0	4.0
alpha_rarefaction_108_1.txt	108	1	3.0	3.0	3.0	4.5	3.0
alpha_rarefaction_108_2.txt	108	2	8.0	2.0	8.0	4.0	3.0
alpha_rarefaction_108_3.txt	108	3	3.0	3.0	8.0	5.0	3.0
alpha_rarefaction_108_4.txt	108	4	2.0	3.0	2.0	3.0	3.0
alpha_rarefaction_108_5.txt	108	5	5.0	3.0	5.0	3.0	2.0
alpha_rarefaction_108_6.txt	108	6	5.5	3.0	3.0	3.0	2.0
alpha_rarefaction_108_7.txt	108	7	5.0	2.0	5.5	3.0	3.0
alpha_rarefaction_108_8.txt	108	8	5.33333333333	3.0	2.0	3.0	1.0
alpha_rarefaction_108_9.txt	108	9	9.0	2.0	3.0	5.0	3.0
alpha_rarefaction_157_0.txt	157	0	5.0	2.0	5.0	3.0	2.0
alpha_rarefaction_157_1.txt	157	1	5.5	3.0	5.0	8.0	5.0
alpha_rarefaction_157_2.txt	157	2	8.5	2.0	5.0	8.0	5.0
alpha_rarefaction_157_3.txt	157	3	5.5	2.0	17.0	3.0	2.0
alpha_rarefaction_157_4.txt	157	4	3.0	4.0	8.0	3.0	3.0
alpha_rarefaction_157_5.txt	157	5	12.0	2.0	4.0	3.0	2.0
alpha_rarefaction_157_6.txt	157	6	3.0	3.0	5.0	4.0	3.0
alpha_rarefaction_157_7.txt	157	7	4.0	3.0	5.0	5.0	2.0
alpha_rarefaction_157_8.txt	157	8	4.0	3.0	5.0	3.0	2.0
alpha_rarefaction_157_9.txt	157	9	5.33333333333	2.0	3.0	6.33333333333	3.0
alpha_rarefaction_206_0.txt	206	0	5.0	3.0	4.0	5.5	5.0
alpha_rarefaction_206_1.txt	206	1	8.0	3.0	9.0	4.0	3.0
alpha_rarefaction_206_2.txt	206	2	12.0	5.0	5.0	4.0	4.0
alpha_rarefaction_206_3.txt	206	3	3.0	5.0	7.5	4.0	2.0
alpha_rarefaction_206_4.txt	206	4	12.0	4.0	5.0	4.0	3.0
alpha_rarefaction_206_5.txt	206	5	8.0	4.0	5.0	4.0	3.0
alpha_rarefaction_206_6.txt	206	6	3.0	5.0	17.0	3.0	3.0
alpha_rarefaction_206_7.txt	206	7	5.0	5.0	5.0	5.5	2.0
alpha_rarefaction_206_8.txt	206	8	4.0	3.0	5.5	12.0	2.0
alpha_rarefaction_206_9.txt	206	9	5.0	5.0	8.0	5.0	3.0
alpha_rarefaction_255_0.txt	255	0	5.5	5.0	7.5	5.5	4.0
alpha_rarefaction_255_1.txt	255	1	8.5	12.0	3.0	5.0	3.0
alpha_rarefaction_255_2.txt	255	2	7.5	5.0	6.5	3.0	3.0
alpha_rarefaction_255_3.txt	255	3	4.0	2.0	5.0	5.0	5.0
alpha_rarefaction_255_4.txt	255	4	3.0	12.0	5.0	4.0	2.0
alpha_rarefaction_255_5.txt	255	5	6.5	5.0	6.0	12.0	3.0
alpha_rarefaction_255_6.txt	255	6	7.5	3.0	10.0	5.0	5.0
alpha_rarefaction_255_7.txt	255	7	9.0	2.0	7.33333333333	6.5	4.0
alpha_rarefaction_255_8.txt	255	8	8.0	12.0	9.0	4.0	3.0
alpha_rarefaction_255_9.txt	255	9	9.0	3.0	6.0	3.0	3.0
alpha_rarefaction_304_0.txt	304	0	13.0	5.0	6.5	7.0	4.0
alpha_rarefaction_304_1.txt	304	1	6.0	4.0	10.0	5.5	3.0
alpha_rarefaction_304_2.txt	304	2	9.0	5.0	8.5	9.0	3.0
alpha_rarefaction_304_3.txt	304	3	8.5	3.0	18.0	3.0	3.0
alpha_rarefaction_304_4.txt	304	4	6.0	3.0	5.5	5.5	5.0
alpha_rarefaction_304_5.txt	304	5	5.5	9.0	9.0	4.0	5.0
alpha_rarefaction_304_6.txt	304	6	4.0	8.0	6.5	10.0	3.0
alpha_rarefaction_304_7.txt	304	7	11.0	3.0	6.33333333333	3.0	3.0
alpha_rarefaction_304_8.txt	304	8	7.5	12.0	6.0	5.5	2.0
alpha_rarefaction_304_9.txt	304	9	7.5	12.0	5.5	6.0	5.0
alpha_rarefaction_353_0.txt	353	0	7.5	3.0	7.5	5.0	5.0
alpha_rarefaction_353_1.txt	353	1	5.0	2.0	5.0	6.0	3.0
alpha_rarefaction_353_2.txt	353	2	5.0	4.0	7.25	8.5	3.0
alpha_rarefaction_353_3.txt	353	3	7.5	5.0	5.0	6.0	3.0
alpha_rarefaction_353_4.txt	353	4	4.0	4.0	6.0	5.0	3.0
alpha_rarefaction_353_5.txt	353	5	6.0	4.0	9.0	17.0	3.0
alpha_rarefaction_353_6.txt	353	6	6.0	5.0	8.5	9.0	5.0
alpha_rarefaction_353_7.txt	353	7	6.0	5.5	6.0	5.0	3.0
alpha_rarefaction_353_8.txt	353	8	18.0	2.0	5.0	4.0	3.0
alpha_rarefaction_353_9.txt	353	9	6.0	5.0	8.0	7.0	5.0
alpha_rarefaction_402_0.txt	402	0	6.0	8.5	7.0	13.0	4.0
alpha_rarefaction_402_1.txt	402	1	7.0	8.0	6.0	6.0	3.0
alpha_rarefaction_402_2.txt	402	2	18.0	6.33333333333	8.5	4.0	2.0
alpha_rarefaction_402_3.txt	402	3	7.0	4.0	7.33333333333	14.0	5.0
alpha_rarefaction_402_4.txt	402	4	7.0	5.0	7.0	6.33333333333	2.0
alpha_rarefaction_402_5.txt	402	5	10.0	7.5	6.0	6.5	5.0
alpha_rarefaction_402_6.txt	402	6	12.0	3.0	14.0	5.5	3.0
alpha_rarefaction_402_7.txt	402	7	13.0	5.0	9.5	6.33333333333	3.0
alpha_rarefaction_402_8.txt	402	8	6.5	4.0	7.5	9.0	4.0
alpha_rarefaction_402_9.txt	402	9	17.0	7.5	8.0	8.5	3.0
alpha_rarefaction_451_0.txt	451	0	11.0	6.0	8.5	14.0	4.0
alpha_rarefaction_451_1.txt	451	1	8.33333333333	5.0	9.0	4.0	3.0
alpha_rarefaction_451_2.txt	451	2	8.0	4.0	10.0	4.0	4.0
alpha_rarefaction_451_3.txt	451	3	10.0	10.0	7.0	13.0	4.0
alpha_rarefaction_451_4.txt	451	4	10.0	13.0	6.0	8.5	4.0
alpha_rarefaction_451_5.txt	451	5	7.25	7.5	7.0	5.0	5.0
alpha_rarefaction_451_6.txt	451	6	9.33333333333	5.5	7.0	6.5	4.0
alpha_rarefaction_451_7.txt	451	7	8.0	23.0	9.0	8.0	3.0
alpha_rarefaction_451_8.txt	451	8	7.5	12.0	30.0	8.75	3.0
alpha_rarefaction_451_9.txt	451	9	6.33333333333	5.5	7.33333333333	5.5	3.0
alpha_rarefaction_500_0.txt	500	0	6.0	5.5	6.0	7.33333333333	3.0
alpha_rarefaction_500_1.txt	500	1	8.33333333333	7.33333333333	6.0	5.5	4.0
alpha_rarefaction_500_2.txt	500	2	7.0	6.33333333333	9.5	5.0	4.0
alpha_rarefaction_500_3.txt	500	3	8.5	5.0	11.0	6.0	5.0
alpha_rarefaction_500_4.txt	500	4	6.0	7.5	7.5	6.5	4.0
alpha_rarefaction_500_5.txt	500	5	14.0	3.0	6.0	9.0	3.0
alpha_rarefaction_500_6.txt	500	6	8.0	8.0	7.0	7.33333333333	4.0
alpha_rarefaction_500_7.txt	500	7	7.0	8.0	8.0	7.33333333333	4.0
alpha_rarefaction_500_8.txt	500	8	6.0	7.5	8.5	7.5	3.0
alpha_rarefaction_500_9.txt	500	9	6.5	12.0	8.5	6.0	3.0
